HUNDRED_BLOCK,LATITUDE,LONGITUDE
8XX BEATTY ST,49.277633,-123.113888
29XX PRINCE EDWARD ST,49.258803,-123.096339
1XX W PENDER ST,49.281093,-123.107610
4XX W 2ND AVE,49.267452,-123.113053
36XX KINGSWAY AVE,49.232160,-123.026550
7XX SE MARINE DR,49.210943,-123.091031
64XX VICTORIA DR,49.226258,-123.065683
5XX W BROADWAY AVE,49.263030,-123.115268
7XX SAWYERS LANE,49.266646,-123.121869
8XX SAWYERS LANE,49.266646,-123.121869
57XX OAK ST,49.234450,-123.127934
82XX MANITOBA ST,49.211070,-123.110026
23XX MAIN ST,49.264339,-123.100848
29XX GRANVILLE ST,49.205941,-123.140641
7XX THURLOW ST,49.285609,-123.123277
10XX HARWOOD ST,49.277751,-123.131414
1XX W BROADWAY AVE,49.263559,-123.145045
29XX W 4TH AVE,49.268390,-123.170226
6XX W BROADWAY AVE,49.263136,-123.117763
26XX KINGSWAY AVE,49.239010,-123.052100
26XX FIR ST,49.262629,-123.141013
2XX E 14TH AVE,49.258388,-123.101048
1XX E 1ST AVE,49.270150,-123.102529
5XX SMITHE ST,49.279038,-123.119485
7XX BEATTY ST,49.278666,-123.112354
5XX GRANVILLE ST,49.284335,-123.114883
7XX KINGSWAY AVE,49.256219,-123.089562
18XX MAIN ST,49.268718,-123.100416
85XX FRASER ST,49.207104,-123.091194
22XX W BROADWAY AVE,49.263857,-123.155461
13XX KINGSWAY AVE,49.251080,-123.078003
13XX E KENT N AVE,49.209407,-123.076880
63XX FRASER ST,49.227390,-123.090685
29XX W BROADWAY AVE,49.264113,-123.170137
12XX BIDWELL ST,49.286235,-123.140214
13XX VENABLES ST,49.276772,-123.077258
8XX POWELL ST,49.282972,-123.088324
4XX E 10TH AVE,49.261580,-123.096030
ALBERNI ST / CHILCO ST,49.294046,-123.137257
20XX W 2ND AVE,49.269846,-123.150421
86XX BARNARD ST,49.208562,-123.145136
9XX STATION ST,49.272518,-123.098034
32XX OAK ST,49.257038,-123.127223
10XX KINGSWAY AVE,49.253871,-123.083807
22XX COMMERCIAL DR,49.265024,-123.069691
1XX W 7TH AVE,49.264759,-123.109306
18XX COMMERCIAL DR,49.268646,-123.069606
18XX W BROADWAY AVE,49.263723,-123.145754
30XX E KENT N AVE,49.206679,-123.040606
22XX KINGSWAY AVE,49.243591,-123.061931
6XX ABBOTT ST,49.279686,-123.107581
8XX SEYMOUR ST,49.280666,-123.118907
3XX KEEFER ST,49.279458,-123.099026
1XX W 2ND AVE,49.269258,-123.106724
5XX DUNSMUIR ST,49.282355,-123.114490
9XX MAIN ST,49.275061,-123.099814
5XX BEATTY ST,49.281199,-123.108477
13XX E 8TH AVE,49.263315,-123.077687
1XX W 8TH AVE,49.263793,-123.106929
2XX E 2ND AVE,49.269772,-123.105283
16XX KINGSWAY AVE,49.247957,-123.071243
24XX HEMLOCK ST,49.265352,-123.135942
1XX W 5TH AVE,49.266516,-123.106830
17XX W 4TH AVE,49.267977,-123.143260
1XX KEEFER PL,49.279805,-123.108260
11XX HARO ST,49.283909,-123.125916
21XX MAIN ST,49.266350,-123.100740
12XX HARO ST,49.285347,-123.128125
10XX E 8TH AVE,49.263377,-123.083181
52XX HEATHER ST,49.237334,-123.120735
4XX RAILWAY ST,49.284844,-123.095364
14XX RICHARDS ST,49.273832,-123.127313
14XX NELSON ST,49.285764,-123.133036
85XX KINROSS ST,49.206371,-123.036351
16XX CLARK DR,49.270552,-123.077264
15XX HOWE ST,49.274352,-123.131796
11XX W GEORGIA ST,49.285172,-123.122132
12XX W 8TH AVE,49.264389,-123.131442
36XX E HASTINGS ST,49.280987,-123.025412
11XX BURRARD ST,49.279845,-123.127654
16XX W 3RD AVE,49.268851,-123.140691
11XX JERVIS ST,49.283445,-123.133230
4XX W 15TH AVE,49.257781,-123.113196
3XX E 14TH AVE,49.258397,-123.098290
19XX PINE ST,49.268849,-123.143183
POWELL ST / RAYMUR AVE,49.277360,-123.082590
4XX DUNSMUIR ST,49.281712,-123.113502
1XX KINGSWAY AVE,49.262905,-123.099654
11XX NELSON ST,49.282423,-123.127919
26XX MAIN ST,49.261979,-123.100923
1XX MILROSS AVE,49.276064,-123.102080
1XX E 33RD AVE,49.240391,-123.101992
3XX CAMBIE ST,49.283255,-123.109079
16XX COLUMBIA ST,49.271381,-123.109336
19XX NELSON ST,49.290433,-123.140284
21XX W 43RD AVE,49.232727,-123.155037
31XX MAIN ST,49.257466,-123.101169
10XX W BROADWAY AVE,49.263342,-123.126703
53XX WEST BLVD,49.232208,-123.155672
18XX W 3RD AVE,49.268886,-123.145412
10XX BUTE ST,49.283893,-123.130166
56XX FRASER ST,49.233877,-123.090478
31XX RIVERWALK AVE,49.205820,-123.036694
21XX W 41ST AVE,49.234581,-123.156345
11XX E HASTINGS ST,49.281080,-123.079293
11XX CARDERO ST,49.286138,-123.137241
5XX E 43RD AVE,49.231026,-123.093954
85XX CAMBIE ST,49.208853,-123.117193
37XX W 6TH AVE,49.266902,-123.185870
3XX W 7TH AVE,49.264767,-123.110974
COMMERCIAL DR / GRANDVIEW HWY N,49.263731,-123.069751
11XX HAMILTON ST,49.275858,-123.121146
16XX DAVIE ST,49.285276,-123.138740
CULLODEN ST / E 59TH AVE,49.216410,-123.078559
9XX JERVIS ST,49.285986,-123.129711
5XX RICHARDS ST,49.283025,-123.113408
E 13TH AVE / VICTORIA DR,49.258627,-123.065964
1XX ONTARIO PL,49.232599,-123.105038
30XX E 20TH AVE,49.252463,-123.068688
7XX BUTE ST,49.287109,-123.125325
29XX W 20TH AVE,49.254580,-123.170247
1XX W CORDOVA ST,49.282965,-123.106893
27XX E HASTINGS ST,49.281126,-123.049446
3XX SE MARINE DR,49.207666,-123.046684
31XX E 27TH AVE,49.246248,-123.037522
CLARK DR / E HASTINGS ST,49.281272,-123.077087
1XX E HASTINGS ST,49.281374,-123.102133
11XX W HASTINGS ST,49.287947,-123.119771
16XX W 60TH AVE,49.216816,-123.143679
26XX W BROADWAY AVE,49.264019,-123.164743
19XX E 39TH AVE,49.234484,-123.067312
BIRCH ST / W 13TH AVE,49.259755,-123.133858
8XX TERMINAL AVE,49.270586,-123.087488
26XX CHARLES ST,49.273251,-123.051810
GRANVILLE ST / W 33RD AVE,49.241867,-123.139332
16XX QUEBEC ST,49.271405,-123.102065
5XX TAYLOR ST,49.280695,-123.105560
13XX ADANAC ST,49.277625,-123.077021
3XX E 59TH AVE,49.216692,-123.099815
9XX GRANVILLE ST,49.280108,-123.121388
E 53RD AVE / PRINCE EDWARD ST,49.221851,-123.097607
29XX W 43RD AVE,49.232825,-123.177672
11XX ROBSON ST,49.284711,-123.125263
2XX GORE AVE,49.282721,-123.097695
22XX DUNDAS ST,49.284626,-123.059251
62XX EAST BLVD,49.229859,-123.155178
8XX GILFORD ST,49.292496,-123.137002
BURRARD ST / DAVIE ST,49.279086,-123.129184
1XX N TEMPLETON DR,49.286163,-123.059654
65XX FRASER ST,49.225455,-123.090747
COLUMBIA ST / E HASTINGS ST,49.281388,-123.102264
53XX COMMERCIAL ST,49.236684,-123.068590
NELSON ST / PACIFIC BLVD,49.274120,-123.114981
13XX JERVIS ST,49.282089,-123.135991
8XX HOMER ST,49.279464,-123.116891
73XX REBEKAH DR,49.217935,-123.038326
87XX SELKIRK ST,49.230491,-123.133449
1XX E CORDOVA ST,49.282225,-123.102115
HORNBY ST / W PENDER ST,49.285932,-123.116816
36XX WILLIAM ST,49.274199,-123.044202
30XX DUNBAR ST,49.261774,-123.183883
17XX DAVIE ST,49.286290,-123.140313
8XX RICHARDS ST,49.280030,-123.117925
BALDWIN ST / KINGSWAY AVE,49.242310,-123.059199
3XX MAIN ST,49.282286,-123.099590
6XX HELMCKEN ST,49.277854,-123.124086
44XX W 10TH AVE,49.263783,-123.205906
14XX COMMERCIAL DR,49.272107,-123.069538
7XX GRANVILLE ST,49.282429,-123.118195
3XX PENTICTON ST,49.282035,-123.051930
4XX E HASTINGS ST,49.281248,-123.095489
7XX MAIN ST,49.278470,-123.099581
E HASTINGS ST / VICTORIA DR,49.281263,-123.065576
1XX KEEFER ST,49.279279,-123.102082
48XX DUMFRIES ST,49.241699,-123.073585
6XX DUNSMUIR ST,49.282997,-123.115772
11XX E BROADWAY AVE,49.262397,-123.081370
35XX E 43RD AVE,49.230798,-123.028509
49XX FRASER ST,49.240295,-123.090336
20XX KINGSWAY AVE,49.245160,-123.065301
1XX E PENDER ST,49.280172,-123.102144
11XX THURLOW ST,49.281076,-123.130121
49XX ROSS ST,49.242122,-123.081401
6XX W HASTINGS ST,49.284629,-123.112847
14XX QUEBEC ST,49.273098,-123.101608
34XX W 8TH AVE,49.265143,-123.179921
8XX CASSIAR ST,49.277421,-123.030751
17XX DRUMMOND DR,49.272317,-123.222313
24XX MAIN ST,49.263703,-123.100846
59XX FRASER ST,49.230993,-123.090591
COMMERCIAL DR / E 13TH AVE,49.258662,-123.069834
19XX E HASTINGS ST,49.281111,-123.065574
11XX DAVIE ST,49.280454,-123.131318
8XX DAVIE ST,49.277826,-123.127255
27XX E 47TH AVE,49.227549,-123.051625
15XX E PENDER ST,49.280325,-123.074035
22XX CAMBRIDGE ST,49.286617,-123.060730
11XX BUTE ST,49.282909,-123.131625
57XX WILLOW ST,49.232925,-123.123880
10XX E 33RD AVE,49.240233,-123.084572
48XX HENRY ST,49.241665,-123.077636
27XX TRIMBLE ST,49.262850,-123.206107
56XX ONTARIO ST,49.234131,-123.105589
4XX E 47TH AVE,49.227466,-123.097572
64XX ADERA ST,49.227967,-123.143548
83XX PRINCE EDWARD ST,49.209920,-123.098409
OAK ST / W 11TH AVE,49.261534,-123.126759
HEMLOCK ST / W BROADWAY AVE,49.263613,-123.136130
15XX KITCHENER ST,49.272171,-123.073331
62XX VICTORIA DR,49.227594,-123.065652
2XX MAIN ST,49.283147,-123.099555
30XX W 6TH AVE,49.266692,-123.172341
16XX BAYSHORE DR,49.291825,-123.129905
1XX E 7TH AVE,49.264617,-123.102818
1XX MAIN ST,49.284050,-123.099498
52XX JOYCE ST,49.237434,-123.032586
COOK ST / W 1ST AVE,49.269823,-123.110858
64XX KILLARNEY ST,49.225076,-123.045639
19XX W 10TH AVE,49.262795,-123.148359
48XX VICTORIA DR,49.241490,-123.065264
11XX GRANVILLE ST,49.277731,-123.124643
8XX PRIOR ST,49.276528,-123.087128
14XX SW MARINE DR,49.204242,-123.138419
JERVIS ST / W GEORGIA ST,49.288144,-123.126861
HOWE ST / NELSON ST,49.279910,-123.124026
30XX E 52ND AVE,49.221712,-123.042784
E 7TH AVE / QUEBEC ST,49.264629,-123.102877
7XX DURWARD AVE,49.240823,-123.088988
5XX SHANGHAI ALLY,49.280102,-123.105842
6XX W 41ST AVE,49.233559,-123.117579
4XX E 51ST AVE,49.223631,-123.095757
84XX DUFF ST,49.216619,-123.064666
1XX WATER ST,49.283867,-123.106536
5XX RAYMUR AVE,49.279946,-123.082733
10XX UNION ST,49.277368,-123.083352
4XX MAIN ST,49.281109,-123.099477
8XX BURRARD ST,49.283006,-123.122873
19XX W 4TH AVE,49.268059,-123.148093
21XX E 11TH AVE,49.260372,-123.061123
42XX FRASER ST,49.247583,-123.090132
6XX GRANVILLE ST,49.283579,-123.116500
8XX E 23RD AVE,49.250055,-123.087732
13XX BARCLAY ST,49.285559,-123.130614
7XX W GEORGIA ST,49.282843,-123.119061
21XX COMMERCIAL DR,49.265748,-123.069681
8XX SALSBURY DR,49.276676,-123.068363
CASSIAR ST / TURNER ST,49.279079,-123.030863
12XX QUEBEC ST,49.273880,-123.101574
2XX PRINCESS AVE,49.283033,-123.091379
30XX MAIN ST,49.258391,-123.101062
27XX GRANVILLE ST,49.261672,-123.138610
15XX E 53RD AVE,49.221748,-123.076032
34XX E 25TH AVE,49.247854,-123.031093
34XX SEAFORTH DR,49.253487,-123.031899
13XX BEACH AVE,49.280441,-123.138323
16XX E 36TH AVE,49.237626,-123.073651
ALDER ST / W 13TH AVE,49.259695,-123.131485
26XX E 28TH AVE,49.245443,-123.052157
FOLEY ST / GREAT NORTHERN WAY,49.266200,-123.086619
87XX MONTCALM ST,49.207003,-123.136161
CARTIER ST / W 72ND AVE,49.205755,-123.137747
14XX E BROADWAY AVE,49.262343,-123.075391
2XX E 16TH AVE,49.256568,-123.101235
1XX ALEXANDER ST,49.283748,-123.102235
25XX QUEBEC ST,49.262968,-123.102933
56XX ROSS ST,49.234235,-123.082500
DAVIE ST / GRANVILLE ST,49.277146,-123.126183
21XX PANDORA ST,49.282973,-123.061498
67XX ALBERTA ST,49.227532,-123.113012
5XX ABBOTT ST,49.281095,-123.107543
4XX ABBOTT ST,49.282000,-123.107182
18XX GRAVELEY ST,49.270483,-123.067559
10XX E 53RD AVE,49.221895,-123.084879
26XX E 29TH AVE,49.244447,-123.100855
29XX CHARLES ST,49.273256,-123.044080
6XX BEATTY ST,49.279911,-123.110460
3XX E HASTINGS ST,49.281313,-123.098939
10XX BURRARD ST,49.279857,-123.126606
4XX W PENDER ST,49.282786,-123.111979
25XX ALDER ST,49.263535,-123.131329
25XX COMMERCIAL DR,49.262274,-123.069751
14XX W 13TH AVE,49.259781,-123.136257
56XX MAIN ST,49.234464,-123.101555
3XX E 20TH AVE,49.252937,-123.098677
1XX SMITHE ST,49.276635,-123.115738
3XX HOMER ST,49.284046,-123.109964
8XX E 54TH AVE,49.220577,-123.087758
2XX DAVIE ST,49.274126,-123.121547
W 41ST AVE / WEST BLVD,49.234580,-123.155563
32XX KINGSWAY AVE,49.234606,-123.037884
BEACH AVE / DENMAN ST,49.286646,-123.142474
5XX W CORDOVA ST,49.284711,-123.110958
35XX GRANDVIEW HWY,49.258072,-123.028520
7XX PRIOR ST,49.276570,-123.089609
33XX WORTHINGTON DR,49.256431,-123.032743
E 10TH AVE / MAIN ST,49.262011,-123.101121
HARO ST / THURLOW ST,49.283904,-123.125881
ALBERNI ST / BUTE ST,49.286703,-123.125937
12XX W 14TH AVE,49.258750,-123.131648
ABBOTT ST / W PENDER ST,49.281098,-123.107562
31XX E 29TH AVE,49.244446,-123.100835
4XX RAYMUR AVE,49.281481,-123.082409
16XX MANITOBA ST,49.271198,-123.106671
GORE AVE / POWELL ST,49.283163,-123.097740
1XX GORE AVE,49.284345,-123.097922
COMMERCIAL ST / E 18TH AVE,49.254408,-123.068177
33XX E 22ND AVE,49.250588,-123.032991
13XX HORNBY ST,49.277215,-123.129708
43XX MAIN ST,49.246550,-123.101187
17XX E 34TH AVE,49.239286,-123.071429
E 23RD AVE / KAMLOOPS ST,49.249705,-123.054583
12XX E 12TH AVE,49.259372,-123.079555
MACDONALD ST / W 12TH AVE,49.261370,-123.168273
29XX KINGSWAY AVE,49.236326,-123.045819
66XX VICTORIA DR,49.224059,-123.065740
33XX VICTORIA DR,49.256867,-123.066015
50XX SHERBROOKE ST,49.239270,-123.081255
6XX E 6TH AVE,49.265087,-123.090047
CAMBIE ST / W HASTINGS ST,49.282533,-123.109566
E KING EDWARD AVE / SOPHIA ST,49.248745,-123.098696
23XX E HASTINGS ST,49.281172,-123.057947
E 5TH AVE / SCOTIA ST,49.266378,-123.098814
11XX E PENDER ST,49.280036,-123.081199
17XX E 55TH AVE,49.219946,-123.071830
26XX LAUREL ST,49.260618,-123.125420
33XX WELLINGTON AVE,49.242473,-123.035996
17XX GRAVELEY ST,49.270501,-123.069595
36XX TANNER ST,49.242577,-123.027681
7XX PACIFIC BLVD,49.276626,-123.109302
16XX NAPIER ST,49.274841,-123.069427
15XX CHARLES ST,49.273063,-123.073256
5XX MAIN ST,49.280217,-123.099326
30XX E 23RD AVE,49.249340,-123.062682
4XX KINGSWAY AVE,49.259251,-123.095853
10XX GRANVILLE ST,49.279230,-123.123104
8XX E 6TH AVE,49.265225,-123.087213
6XX PIPELINE RD,49.299622,-123.135762
2XX E PENDER ST,49.280376,-123.099694
7XX W 8TH AVE,49.264167,-123.120176
10XX HOWE ST,49.279849,-123.124092
31XX CAROLINA ST,49.256427,-123.091812
5XX E 20TH AVE,49.252882,-123.093827
12XX W 12TH AVE,49.260653,-123.131574
7XX E 12TH AVE,49.259711,-123.089056
35XX W 14TH AVE,49.259771,-123.182033
34XX GLEN DR,49.253516,-123.081787
12XX KINGSWAY AVE,49.251687,-123.079250
15XX W 11TH AVE,49.261708,-123.138750
CAMBIE ST / W 8TH AVE,49.264105,-123.114977
4XX E 11TH AVE,49.260684,-123.096189
54XX BRUCE ST,49.235537,-123.070008
2XX E 50TH AVE,49.224699,-123.101701
CAMBIE ST / W 38TH AVE,49.236305,-123.115929
1XX N CASSIAR ST,49.285675,-123.030807
2XX E 21ST AVE,49.251791,-123.101040
4XX W BROADWAY AVE,49.262900,-123.113163
1XX E 21ST AVE,49.251829,-123.103000
56XX CAMBIE ST,49.234512,-123.116000
67XX CULLODEN ST,49.223420,-123.078713
4XX POWELL ST,49.282640,-123.094347
5XX E HASTINGS ST,49.281218,-123.093321
67XX HEATHER ST,49.224596,-123.123655
40XX W 19TH AVE,49.255607,-123.193416
1XX BLOOD ALLEY SQ,49.283168,-123.105405
8XX DENMAN ST,49.291863,-123.134863
62XX KILLARNEY ST,49.225894,-123.045603
2XX E 51ST AVE,49.223760,-123.102440
18XX E 47TH AVE,49.227637,-123.068421
3XX CARRALL ST,49.282022,-123.104216
4XX ROBSON ST,49.279763,-123.117386
5XX ROBSON ST,49.280103,-123.118161
1XX W 23RD AVE,49.249960,-123.107275
75XX JASPER CRES,49.216049,-123.069850
MANITOBA ST / W 3RD AVE,49.268328,-123.106611
28XX W 24TH AVE,49.251029,-123.173181
12XX W HASTINGS ST,49.288827,-123.122870
CLARK DR / E BROADWAY AVE,49.262420,-123.077460
CARRALL ST / W HASTINGS ST,49.281494,-123.104335
9XX SEYMOUR ST,49.279399,-123.120431
MAIN ST / UNION ST,49.277672,-123.099723
17XX E BROADWAY AVE,49.262233,-123.068085
4XX E PENDER ST,49.279991,-123.094674
24XX W 2ND AVE,49.270004,-123.159920
18XX PENDRELL ST,49.287955,-123.140746
23XX TRINITY ST,49.289311,-123.057628
70XX WERKS DR,49.219547,-123.031817
35XX FRASER ST,49.253681,-123.089961
22XX FRANKLIN ST,49.282068,-123.059662
20XX W 11TH AVE,49.261886,-123.150484
5XX HOMER ST,49.282739,-123.111928
9XX CANADA PL,49.287196,-123.114020
31XX OAK ST,49.257795,-123.127021
6XX GORE AVE,49.278576,-123.097065
64XX QUEBEC ST,49.226737,-123.103724
12XX W 71ST AVE,49.206935,-123.132404
17XX W 11TH AVE,49.261790,-123.143583
COMMERCIAL DR / E 4TH AVE,49.266885,-123.069682
ASH ST / W 26TH AVE,49.247995,-123.118468
E 45TH AVE / TYNE ST,49.229258,-123.032144
13XX E GEORGIA ST,49.278574,-123.077256
12XX RICHARDS ST,49.275821,-123.124295
40XX OAK ST,49.250171,-123.127482
75XX COLUMBIA ST,49.215187,-123.112659
35XX TRIUMPH ST,49.283851,-123.028074
4XX SEYMOUR ST,49.284628,-123.112917
11XX PACIFIC ST,49.278267,-123.134402
DUNSMUIR ST / RICHARDS ST,49.282366,-123.114473
57XX KERR ST,49.232833,-123.040203
12XX E 23RD AVE,49.249936,-123.079970
19XX YORK AVE,49.271580,-123.147834
20XX BARCLAY ST,49.292837,-123.141774
6XX W 45TH AVE,49.230238,-123.129154
15XX W 8TH AVE,49.264484,-123.138688
48XX MOSS ST,49.241432,-123.043689
OAK ST / W KING EDWARD AVE,49.249163,-123.127528
CAMBIE ST / W 54TH AVE,49.221761,-123.116492
45XX JOHN ST,49.244452,-123.097425
W 8TH AVE / W BROADWAY AVE,49.265087,-123.193416
ABERDEEN ST / KINGSWAY AVE,49.232099,-123.028118
10XX MARINASIDE CRES,49.273696,-123.114765
21XX E 20TH AVE,49.252671,-123.081898
4XX E 55TH AVE,49.220064,-123.097665
36XX HUDSON ST,49.253541,-123.134958
13XX W 10TH AVE,49.262552,-123.133526
GRANVILLE ST / W 41ST AVE,49.234332,-123.139608
MACKENZIE ST / W 41ST AVE,49.234734,-123.170297
16XX COMOX ST,49.286574,-123.136464
3XX E 37TH AVE,49.237186,-123.099423
53XX ELGIN ST,49.236954,-123.083572
LAUREL ST / W 10TH AVE,49.262416,-123.124189
21XX KINGSWAY AVE,49.244467,-123.063823
56XX STAMFORD ST,49.233362,-123.031559
31XX E 4TH AVE,49.266658,-123.038917
52XX PRINCE ALBERT ST,49.237832,-123.087986
30XX CROWN ST,49.259978,-123.194001
17XX COMOX ST,49.287604,-123.138035
37XX W 7TH AVE,49.266062,-123.185894
7XX E 10TH AVE,49.261520,-123.089016
5XX E 49TH AVE,49.225509,-123.093897
12XX BURNABY ST,49.281130,-123.134517
20XX E 3RD AVE,49.267742,-123.063744
E 6TH AVE / QUEBEC ST,49.265556,-123.102853
9XX COOPERAGE WAY,49.274303,-123.113013
1XX E 53RD AVE,49.221954,-123.102387
NELSON ST / SEYMOUR ST,49.278631,-123.122022
E HASTINGS ST / PENTICTON ST,49.281153,-123.051939
18XX STEWART ST,49.285008,-123.068214
CAMBIE ST / W KING EDWARD AVE,49.248922,-123.115287
65XX ARBUTUS ST,49.240157,-123.155394
CASSIAR ST / E 22ND AVE,49.250613,-123.031073
27XX CRANBERRY DR,49.261937,-123.153640
35XX FOSTER AVE,49.234120,-123.028076
34XX WORTHINGTON DR,49.254555,-123.030635
18XX W 10TH AVE,49.262743,-123.145909
53XX DUMFRIES ST,49.236793,-123.074119
16XX E 35TH AVE,49.238450,-123.072741
17XX COLUMBIA ST,49.270238,-123.109395
65XX KNIGHT ST,49.225239,-123.077174
1XX W 49TH AVE,49.224544,-123.108789
25XX E 19TH AVE,49.253188,-123.054658
31XX E 45TH AVE,49.229276,-123.040771
34XX W 36TH AVE,49.239559,-123.180331
31XX E 18TH AVE,49.253991,-123.038926
45XX ELGIN ST,49.244486,-123.082712
ADANAC ST / COMMERCIAL DR,49.277591,-123.070505
EXPO BLVD / NELSON ST,49.274884,-123.115966
65XX VICTORIA DR,49.225127,-123.065713
25XX E GEORGIA ST,49.278263,-123.054447
2XX CAMBIE ST,49.284296,-123.108716
26XX W 14TH AVE,49.259320,-123.164732
69XX BUTLER ST,49.221224,-123.033764
5XX W 26TH AVE,49.247950,-123.115822
CARRALL ST / W CORDOVA ST,49.282474,-123.104320
4XX E 50TH AVE,49.224601,-123.097375
7XX W KING EDWARD AVE,49.248987,-123.120264
7XX W 24TH AVE,49.250076,-123.120428
13XX W 12TH AVE,49.260680,-123.133703
39XX ANGUS DR,49.249939,-123.145929
HELMCKEN ST / HOMER ST,49.276325,-123.121703
25XX E 18TH AVE,49.254033,-123.054434
9XX MAINLAND ST,49.277678,-123.117522
36XX W 15TH AVE,49.258898,-123.184083
7XX POWELL ST,49.282990,-123.089392
8XX WINDERMERE ST,49.276411,-123.036309
31XX WAVERLEY AVE,49.226726,-123.050284
13XX RICHARDS ST,49.274521,-123.125798
57XX WALLACE ST,49.234858,-123.190926
32XX E 48TH AVE,49.225456,-123.038673
26XX E 18TH AVE,49.254044,-123.052290
W 29TH AVE / YUKON ST,49.245104,-123.112353
18XX FRANCES ST,49.279381,-123.068438
10XX BEACH AVE,49.275783,-123.133854
HOMER ST / W HASTINGS ST,49.283397,-123.110932
GRANVILLE ST / W 10TH AVE,49.262633,-123.138599
1XX SMITHE MEWS,49.274537,-123.112486
SEYMOUR ST / SMITHE ST,49.279680,-123.120417
29XX E 16TH AVE,49.255409,-123.044337
8XX W 28TH AVE,49.246183,-123.120383
16XX W 8TH AVE,49.264544,-123.141231
32XX E 46TH AVE,49.228448,-123.038621
19XX ALBERNI ST,49.293158,-123.135870
14XX HARWOOD ST,49.282339,-123.138508
28XX W 5TH AVE,49.267468,-123.168352
53XX TAUNTON ST,49.236556,-123.038540
27XX PINE ST,49.261753,-123.143447
16XX E 12TH AVE,49.259569,-123.071772
W 18TH AVE / WALLACE ST,49.256505,-123.190771
32XX CHARLES ST,49.273245,-123.036451
2XX E 4TH AVE,49.266514,-123.056314
31XX E 20TH AVE,49.252463,-123.068688
44XX COMMERCIAL ST,49.245484,-123.067838
5XX MOBERLY RD,49.267802,-123.117507
25XX E 7TH AVE,49.263866,-123.054570
30XX KINGS AVE,49.243614,-123.042979
23XX YORK AVE,49.271720,-123.157496
10XX E 18TH AVE,49.254488,-123.083590
7XX E 21ST AVE,49.251898,-123.090035
9XX W 18TH AVE,49.255276,-123.124556
28XX TRINITY ST,49.289692,-123.046814
SEYMOUR ST / W PENDER ST,49.284021,-123.113858
7XX W 20TH AVE,49.253381,-123.120041
CEDAR CRES / FIR ST,49.256839,-123.141287
49XX KILLARNEY ST,49.240019,-123.042421
16XX GRANVILLE ST,49.205963,-123.140640
62XX KERR ST,49.226991,-123.041014
31XX E PENDER ST,49.280202,-123.038705
10XX CAMBIE ST,49.270816,-123.114789
44XX ST GEORGE ST,49.245590,-123.094137
30XX KINGSWAY AVE,49.235868,-123.042317
9XX W GEORGIA ST,49.283745,-123.121057
47XX DUNBAR ST,49.244219,-123.185229
14XX CHESTNUT ST,49.273519,-123.146285
52XX GRANVILLE ST,49.205902,-123.140643
2XX E CORDOVA ST,49.282278,-123.099740
36XX E 28TH AVE,49.245333,-123.026152
19XX W 15TH AVE,49.258163,-123.148213
18XX YORK AVE,49.271549,-123.146417
20XX BALSAM ST,49.268251,-123.159852
6XX W CORDOVA ST,49.285501,-123.112149
ABBOTT ST / EXPO BLVD,49.278616,-123.107623
